player_name,profile_link,player_throwing_arm,player_salary_cap
Mitch Trubisky,https://www.pro-football-reference.com/players/T/TrubMi00.htm,Right,"465,000"
Patrick Mahomes,https://www.pro-football-reference.com/players/M/MahoPa00.htm,Right,"465,000"
Deshaun Watson,https://www.pro-football-reference.com/players/W/WatsDe00.htm,Right,"465,000"
DeShone Kizer,https://www.pro-football-reference.com/players/K/KizeDe00.htm,Right,"465,000"
Davis Webb,https://www.pro-football-reference.com/players/W/WebbDa00.htm,Right,"465,000"
C.J. Beathard,https://www.pro-football-reference.com/players/B/BeatC.00.htm,Right,"465,000"
Joshua Dobbs,https://www.pro-football-reference.com/players/D/DobbJo00.htm,Right,"465,000"
Nathan Peterman,https://www.pro-football-reference.com/players/P/PeteNa00.htm,Right,"465,000"
Brad Kaaya,https://www.pro-football-reference.com/players/K/KaayBr00.htm,Right,"465,000"
Chad Kelly,https://www.pro-football-reference.com/players/K/KellCh00.htm,Right,"348,000"
Jared Goff,https://www.pro-football-reference.com/players/G/GoffJa00.htm,Right,
Carson Wentz,https://www.pro-football-reference.com/players/W/WentCa00.htm,Right,
Paxton Lynch,https://www.pro-football-reference.com/players/L/LyncPa00.htm,Right,"880,741"
Christian Hackenberg,https://www.pro-football-reference.com/players/H/HackCh01.htm,Right,"661,832"
Jacoby Brissett,https://www.pro-football-reference.com/players/B/BrisJa00.htm,Right,"580,038"
Cody Kessler,https://www.pro-football-reference.com/players/K/KessCo00.htm,Right,"604,049"
Connor Cook,https://www.pro-football-reference.com/players/C/CookCo00.htm,Right,"540,000"
Dak Prescott,https://www.pro-football-reference.com/players/P/PresDa01.htm,Right,"540,000"
Cardale Jones,https://www.pro-football-reference.com/players/J/JoneCa01.htm,Right,
Kevin Hogan,https://www.pro-football-reference.com/players/H/HogaKe00.htm,Right,"540,000"
Nate Sudfeld,https://www.pro-football-reference.com/players/S/SudfNa00.htm,Right,"285,882"
Jake Rudock,https://www.pro-football-reference.com/players/R/RudoJa00.htm,Right,"540,000"
Brandon Allen,https://www.pro-football-reference.com/players/A/AlleBr00.htm,Right,
Jeff Driskel,https://www.pro-football-reference.com/players/D/DrisJe00.htm,Right,"540,000"
Brandon Doughty,https://www.pro-football-reference.com/players/D/DougBr00.htm,Right,
Jameis Winston,https://www.pro-football-reference.com/players/W/WinsJa00.htm,Right,"615,000"
Marcus Mariota,https://www.pro-football-reference.com/players/M/MariMa01.htm,Right,"615,000"
Garrett Grayson,https://www.pro-football-reference.com/players/G/GrayGa00.htm,Right,
Sean Mannion,https://www.pro-football-reference.com/players/M/MannSe00.htm,Right,"730,037"
Bryce Petty,https://www.pro-football-reference.com/players/P/PettBr01.htm,Right,"615,000"
Brett Hundley,https://www.pro-football-reference.com/players/H/HundBr00.htm,Right,"615,000"
Trevor Siemian,https://www.pro-football-reference.com/players/S/SiemTr00.htm,Right,"615,000"
Blake Bortles,https://www.pro-football-reference.com/players/B/BortBl00.htm,,"3,236,565"
Johnny Manziel,https://www.pro-football-reference.com/players/M/ManzJo00.htm,,
Teddy Bridgewater,https://www.pro-football-reference.com/players/B/BridTe00.htm,Right,"1,354,023"
Derek Carr,https://www.pro-football-reference.com/players/C/CarrDe02.htm,Right,
Jimmy Garoppolo,https://www.pro-football-reference.com/players/G/GaroJi00.htm,,"820,077"
Logan Thomas,https://www.pro-football-reference.com/players/T/ThomLo00.htm,,"700,000"
Tom Savage,https://www.pro-football-reference.com/players/S/SavaTo00.htm,Right,"690,000"
Aaron Murray,https://www.pro-football-reference.com/players/M/MurrAa00.htm,,
A.J. McCarron,https://www.pro-football-reference.com/players/M/McCaA.00.htm,,"690,000"
Zach Mettenberger,https://www.pro-football-reference.com/players/M/MettZa00.htm,Right,
David Fales,https://www.pro-football-reference.com/players/F/FaleDa00.htm,,
Keith Wenning,https://www.pro-football-reference.com/players/W/WennKe00.htm,,
Tajh Boyd,https://www.pro-football-reference.com/players/B/BoydTa00.htm,,
Garrett Gilbert,https://www.pro-football-reference.com/players/G/GilbGa01.htm,,"300,883"
EJ Manuel,https://www.pro-football-reference.com/players/M/ManuEJ00.htm,Right,
Geno Smith,https://www.pro-football-reference.com/players/S/SmitGe00.htm,,"775,000"
Mike Glennon,https://www.pro-football-reference.com/players/G/GlenMi00.htm,Right,"8,000,000"
Matt Barkley,https://www.pro-football-reference.com/players/B/BarkMa00.htm,,
Ryan Nassib,https://www.pro-football-reference.com/players/N/NassRy00.htm,Right,"683,824"
Tyler Wilson,https://www.pro-football-reference.com/players/W/WilsTy00.htm,,
Landry Jones,https://www.pro-football-reference.com/players/J/JoneLa02.htm,Right,"1,900,000"
Brad Sorensen,https://www.pro-football-reference.com/players/S/SoreBr00.htm,,
Zac Dysert,https://www.pro-football-reference.com/players/D/DyseZa00.htm,,
B.J. Daniels,https://www.pro-football-reference.com/players/D/DaniB.00.htm,,
Sean Renfree,https://www.pro-football-reference.com/players/R/RenfSe00.htm,,
Andrew Luck,https://www.pro-football-reference.com/players/L/LuckAn00.htm,Right,"7,000,000"
Robert Griffin,https://www.pro-football-reference.com/players/G/GrifRo01.htm,Right,
Ryan Tannehill,https://www.pro-football-reference.com/players/T/TannRy00.htm,Right,"17,975,000"
Brandon Weeden,https://www.pro-football-reference.com/players/W/WeedBr00.htm,Right,
Brock Osweiler,https://www.pro-football-reference.com/players/O/OsweBr00.htm,Right,
Russell Wilson,https://www.pro-football-reference.com/players/W/WilsRu00.htm,Right,
Nick Foles,https://www.pro-football-reference.com/players/F/FoleNi00.htm,Right,
Kirk Cousins,https://www.pro-football-reference.com/players/C/CousKi00.htm,Right,"23,943,600"
Ryan Lindley,https://www.pro-football-reference.com/players/L/LindRy00.htm,Right,
B.J. Coleman,https://www.pro-football-reference.com/players/C/ColeB.00.htm,Right,
Chandler Harnish,https://www.pro-football-reference.com/players/H/HarnCh00.htm,Right,
Cam Newton,https://www.pro-football-reference.com/players/N/NewtCa00.htm,Right,"13,166,666"
Jake Locker,https://www.pro-football-reference.com/players/L/LockJa00.htm,Right,
Blaine Gabbert,https://www.pro-football-reference.com/players/G/GabbBl00.htm,Right,"900,000"
Christian Ponder,https://www.pro-football-reference.com/players/P/PondCh00.htm,Right,
Andy Dalton,https://www.pro-football-reference.com/players/D/DaltAn00.htm,Right,"13,100,000"
Colin Kaepernick,https://www.pro-football-reference.com/players/K/KaepCo00.htm,Right,
Ryan Mallett,https://www.pro-football-reference.com/players/M/MallRy00.htm,Right,"1,000,000"
Ricky Stanzi,https://www.pro-football-reference.com/players/S/StanRi00.htm,Right,
T.J. Yates,https://www.pro-football-reference.com/players/Y/YateT.00.htm,Right,
Nathan Enderle,https://www.pro-football-reference.com/players/E/EndeNa00.htm,Right,
Tyrod Taylor,https://www.pro-football-reference.com/players/T/TaylTy00.htm,Right,"7,500,000"
Greg McElroy,https://www.pro-football-reference.com/players/M/McElGr00.htm,Right,
Sam Bradford,https://www.pro-football-reference.com/players/B/BradSa00.htm,Right,"14,000,000"
Tim Tebow,https://www.pro-football-reference.com/players/T/TeboTi00.htm,Left,
Jimmy Clausen,https://www.pro-football-reference.com/players/C/ClauJi00.htm,Right,
Colt McCoy,https://www.pro-football-reference.com/players/M/McCoCo00.htm,Right,"2,800,000"
